<<<<<<< HEAD
"Negara","Kelas","Logged GDP per capita","Social support"
"Iceland","Middle",1.24787686846385,1.46450046316929
"Israel","Middle",0.986354668046353,1.08152220084229
"Costa Rica","Middle",0.386493515273561,0.663727732849201
"Czech Republic","Middle",0.969955586171989,1.15115461217447
"United States","Middle",1.37302775645241,0.91614522392836
"Belgium","Middle",1.20040584198542,0.794288504097042
"France","Middle",1.09769580287756,1.10763435509186
"Bahrain","Middle",1.06748696784584,0.411310241770043
"Malta","Middle",1.07180251570751,1.01188978951011
"Taiwan Province of China","Middle",1.2418351014575,0.72465609276486
"United Arab Emirates","Middle",1.42654054993718,0.254637316272634
"Saudi Arabia","Middle",1.13135707619863,0.663727732849201
"Spain","Middle",0.982902229757014,1.02059384092663
"Italy","Middle",1.02778392751843,0.567983167267452
"Slovenia","Middle",0.946651627718946,1.159858663591
"Uruguay","Middle",0.460720938494366,0.959665481010974
"Slovakia","Middle",0.808554096145353,1.05541004659272
"Brazil","Middle",0.12497131485607,0.585391270100497
"Mexico","Middle",0.368368214254527,0.141484647857839
"Jamaica","Middle",-0.212504527926898,0.541871013017883
"Lithuania","Middle",0.920758340548898,1.0467059951762
"Cyprus","Middle",0.987217777618689,-0.110932843221319
"Estonia","Middle",0.905222368246868,1.09893030367534
"Panama","Middle",0.792155014270989,0.707247989931815
"Chile","Middle",0.551347443589537,0.585391270100497
"Poland","Middle",0.819774520585707,0.72465609276486
"Kazakhstan","Middle",0.623848647665672,1.19467486925709
"Romania","Middle",0.735189782496883,0.150188699274361
"Kuwait","Middle",1.19522718455141,0.245933264856111
"Serbia","Middle",0.306224325046411,0.507054807351793
"Mauritius","Middle",0.496971540532434,0.785584452680519
"Latvia","Middle",0.761946179239265,0.977073583844019
"Colombia","Middle",0.107709123409371,0.280749470522202
"Hungary","Middle",0.799059890849669,1.11633840650838
"Japan","Middle",1.01742661265041,0.602799372933542
"Argentina","Middle",0.457268500205027,0.72465609276486
"Portugal","Middle",0.85343579390677,0.559279115850929
"Croatia","Middle",0.677361441150441,0.950961429594451
"South Korea","Middle",1.05195099554381,-0.137044997470887
"Peru","Middle",0.0222612757482102,0.150188699274361
"Bosnia and Herzegovina","Middle",0.136191739296424,0.480942653102224
"Moldova","Middle",0.0188088374588707,0.367789984687429
"Ecuador","Middle",-0.102889612240358,0.0544441336926114
"Greece","Middle",0.730874234635207,0.0718522365256568
"Mongolia","Middle",-0.027799079447217,1.0467059951762
